filepath,label
data/raw\mountain\1155.jpg,mountain
data/raw\forest\8745.jpg,forest
data/raw\sea\6477.jpg,sea
data/raw\glacier\15213.jpg,glacier
data/raw\forest\4605.jpg,forest
data/raw\sea\5231.jpg,sea
data/raw\glacier\19362.jpg,glacier
data/raw\buildings\17551.jpg,buildings
data/raw\buildings\16059.jpg,buildings
data/raw\street\7300.jpg,street
data/raw\street\15090.jpg,street
data/raw\forest\5769.jpg,forest
data/raw\forest\8076.jpg,forest
data/raw\buildings\19661.jpg,buildings
data/raw\mountain\3978.jpg,mountain
data/raw\sea\631.jpg,sea
data/raw\street\9442.jpg,street
data/raw\forest\7009.jpg,forest
data/raw\street\9720.jpg,street
data/raw\buildings\19032.jpg,buildings
data/raw\street\6792.jpg,street
data/raw\mountain\1165.jpg,mountain
data/raw\forest\8016.jpg,forest
data/raw\mountain\155.jpg,mountain
data/raw\forest\2909.jpg,forest
data/raw\forest\7847.jpg,forest
data/raw\street\15154.jpg,street
data/raw\glacier\11747.jpg,glacier
data/raw\buildings\14577.jpg,buildings
data/raw\street\14312.jpg,street
data/raw\sea\7146.jpg,sea
data/raw\glacier\11825.jpg,glacier
data/raw\street\5833.jpg,street
data/raw\buildings\18560.jpg,buildings
data/raw\street\7546.jpg,street
data/raw\forest\8459.jpg,forest
data/raw\mountain\1794.jpg,mountain
data/raw\forest\4046.jpg,forest
data/raw\buildings\12451.jpg,buildings
data/raw\street\7585.jpg,street
data/raw\sea\5829.jpg,sea
data/raw\mountain\4065.jpg,mountain
data/raw\sea\6761.jpg,sea
data/raw\sea\5215.jpg,sea
data/raw\forest\2914.jpg,forest
data/raw\sea\8584.jpg,sea
data/raw\forest\4255.jpg,forest
data/raw\street\8254.jpg,street
data/raw\street\16811.jpg,street
data/raw\mountain\5257.jpg,mountain
data/raw\sea\8230.jpg,sea
data/raw\forest\915.jpg,forest
data/raw\glacier\19297.jpg,glacier
data/raw\mountain\1344.jpg,mountain
data/raw\street\15837.jpg,street
data/raw\sea\7582.jpg,sea
data/raw\forest\6655.jpg,forest
data/raw\buildings\15959.jpg,buildings
data/raw\mountain\6215.jpg,mountain
data/raw\forest\3542.jpg,forest
data/raw\mountain\6926.jpg,mountain
data/raw\sea\6286.jpg,sea
data/raw\mountain\2197.jpg,mountain
data/raw\buildings\17073.jpg,buildings
data/raw\buildings\12427.jpg,buildings
data/raw\street\9378.jpg,street
data/raw\glacier\17611.jpg,glacier
data/raw\glacier\16565.jpg,glacier
data/raw\sea\3628.jpg,sea
data/raw\forest\6893.jpg,forest
data/raw\mountain\2578.jpg,mountain
data/raw\forest\8140.jpg,forest
data/raw\glacier\16083.jpg,glacier
data/raw\street\16392.jpg,street
data/raw\street\14355.jpg,street
data/raw\mountain\2875.jpg,mountain
data/raw\glacier\13988.jpg,glacier
data/raw\glacier\12531.jpg,glacier
data/raw\forest\7482.jpg,forest
data/raw\street\17076.jpg,street
data/raw\mountain\3765.jpg,mountain
data/raw\glacier\20007.jpg,glacier
data/raw\street\16118.jpg,street
data/raw\sea\3221.jpg,sea
data/raw\street\15534.jpg,street
data/raw\buildings\17273.jpg,buildings
data/raw\buildings\17262.jpg,buildings
data/raw\buildings\19848.jpg,buildings
data/raw\buildings\19689.jpg,buildings
data/raw\street\16633.jpg,street
data/raw\glacier\11928.jpg,glacier
data/raw\forest\3057.jpg,forest
data/raw\buildings\14521.jpg,buildings
data/raw\sea\3944.jpg,sea
data/raw\buildings\13400.jpg,buildings
data/raw\street\7236.jpg,street
data/raw\glacier\19622.jpg,glacier
data/raw\sea\986.jpg,sea
data/raw\forest\7913.jpg,forest
data/raw\glacier\19203.jpg,glacier
data/raw\glacier\16824.jpg,glacier
data/raw\forest\573.jpg,forest
data/raw\mountain\4456.jpg,mountain
data/raw\mountain\2220.jpg,mountain
data/raw\street\10255.jpg,street
data/raw\forest\5345.jpg,forest
data/raw\street\16250.jpg,street
data/raw\buildings\13753.jpg,buildings
data/raw\mountain\457.jpg,mountain
data/raw\mountain\7209.jpg,mountain
data/raw\sea\7669.jpg,sea
data/raw\sea\7950.jpg,sea
data/raw\forest\7271.jpg,forest
data/raw\forest\838.jpg,forest
data/raw\forest\8738.jpg,forest
data/raw\forest\2601.jpg,forest
data/raw\mountain\2615.jpg,mountain
data/raw\forest\1025.jpg,forest
data/raw\mountain\5569.jpg,mountain
data/raw\forest\7947.jpg,forest
data/raw\forest\3583.jpg,forest
data/raw\mountain\6632.jpg,mountain
data/raw\mountain\790.jpg,mountain
data/raw\forest\2077.jpg,forest
data/raw\street\15512.jpg,street
data/raw\forest\2953.jpg,forest
data/raw\sea\3726.jpg,sea
data/raw\buildings\13470.jpg,buildings
data/raw\glacier\16434.jpg,glacier
data/raw\street\7427.jpg,street
data/raw\mountain\730.jpg,mountain
data/raw\buildings\12065.jpg,buildings
data/raw\glacier\13766.jpg,glacier
data/raw\sea\444.jpg,sea
data/raw\glacier\14882.jpg,glacier
data/raw\sea\290.jpg,sea
data/raw\buildings\18815.jpg,buildings
data/raw\glacier\19177.jpg,glacier
data/raw\forest\240.jpg,forest
data/raw\sea\4705.jpg,sea
data/raw\buildings\16559.jpg,buildings
data/raw\mountain\459.jpg,mountain
data/raw\sea\901.jpg,sea
data/raw\glacier\16345.jpg,glacier
data/raw\sea\3841.jpg,sea
data/raw\mountain\5272.jpg,mountain
data/raw\street\7523.jpg,street
data/raw\mountain\6000.jpg,mountain
data/raw\mountain\5433.jpg,mountain
data/raw\glacier\13052.jpg,glacier
data/raw\street\15797.jpg,street
data/raw\forest\6804.jpg,forest
data/raw\glacier\14033.jpg,glacier
data/raw\glacier\11702.jpg,glacier
data/raw\forest\663.jpg,forest
data/raw\glacier\19609.jpg,glacier
data/raw\mountain\7654.jpg,mountain
data/raw\mountain\6003.jpg,mountain
data/raw\mountain\2799.jpg,mountain
data/raw\mountain\118.jpg,mountain
data/raw\buildings\13171.jpg,buildings
data/raw\glacier\19985.jpg,glacier
data/raw\sea\5233.jpg,sea
data/raw\buildings\15673.jpg,buildings
data/raw\sea\6750.jpg,sea
data/raw\mountain\6934.jpg,mountain
data/raw\street\16880.jpg,street
data/raw\sea\8648.jpg,sea
data/raw\glacier\15383.jpg,glacier
data/raw\buildings\14389.jpg,buildings
data/raw\sea\7699.jpg,sea
data/raw\buildings\16507.jpg,buildings
data/raw\sea\2665.jpg,sea
data/raw\forest\5116.jpg,forest
data/raw\forest\2400.jpg,forest
data/raw\sea\1124.jpg,sea
data/raw\street\9749.jpg,street
data/raw\glacier\17758.jpg,glacier
data/raw\buildings\11483.jpg,buildings
data/raw\buildings\14830.jpg,buildings
data/raw\mountain\6711.jpg,mountain
data/raw\forest\8236.jpg,forest
data/raw\buildings\16095.jpg,buildings
data/raw\street\9076.jpg,street
data/raw\forest\8352.jpg,forest
data/raw\sea\8668.jpg,sea
data/raw\mountain\2413.jpg,mountain
data/raw\mountain\3860.jpg,mountain
data/raw\street\9733.jpg,street
data/raw\buildings\17764.jpg,buildings
data/raw\sea\2365.jpg,sea
data/raw\forest\3055.jpg,forest
data/raw\buildings\12144.jpg,buildings
data/raw\street\14875.jpg,street
data/raw\street\9846.jpg,street
data/raw\forest\5088.jpg,forest
data/raw\street\16935.jpg,street
data/raw\forest\8480.jpg,forest
data/raw\sea\2598.jpg,sea
data/raw\buildings\15906.jpg,buildings
data/raw\sea\2656.jpg,sea
data/raw\mountain\5960.jpg,mountain
data/raw\buildings\15322.jpg,buildings
data/raw\glacier\14690.jpg,glacier
data/raw\mountain\480.jpg,mountain
data/raw\forest\5205.jpg,forest
data/raw\forest\5804.jpg,forest
data/raw\street\6370.jpg,street
data/raw\glacier\18658.jpg,glacier
data/raw\forest\4031.jpg,forest
data/raw\mountain\2976.jpg,mountain
data/raw\sea\6623.jpg,sea
data/raw\glacier\11952.jpg,glacier
data/raw\buildings\12925.jpg,buildings
data/raw\sea\2944.jpg,sea
data/raw\glacier\16021.jpg,glacier
data/raw\sea\5407.jpg,sea
data/raw\glacier\17841.jpg,glacier
data/raw\street\10430.jpg,street
data/raw\mountain\1389.jpg,mountain
data/raw\sea\3511.jpg,sea
data/raw\forest\1565.jpg,forest
data/raw\buildings\11718.jpg,buildings
data/raw\mountain\2311.jpg,mountain
data/raw\buildings\12617.jpg,buildings
data/raw\glacier\17736.jpg,glacier
data/raw\street\6347.jpg,street
data/raw\mountain\4826.jpg,mountain
data/raw\glacier\18925.jpg,glacier
data/raw\street\5948.jpg,street
data/raw\forest\5610.jpg,forest
data/raw\forest\7145.jpg,forest
data/raw\mountain\3373.jpg,mountain
data/raw\glacier\12322.jpg,glacier
data/raw\forest\714.jpg,forest
data/raw\forest\4628.jpg,forest
data/raw\glacier\17227.jpg,glacier
data/raw\mountain\2590.jpg,mountain
data/raw\sea\332.jpg,sea
data/raw\street\15359.jpg,street
data/raw\mountain\2571.jpg,mountain
data/raw\forest\5049.jpg,forest
data/raw\mountain\6969.jpg,mountain
data/raw\buildings\12729.jpg,buildings
data/raw\street\7499.jpg,street
data/raw\mountain\1032.jpg,mountain
data/raw\mountain\6256.jpg,mountain
data/raw\sea\2715.jpg,sea
data/raw\buildings\19447.jpg,buildings
data/raw\street\5684.jpg,street
data/raw\mountain\6323.jpg,mountain
data/raw\mountain\5984.jpg,mountain
data/raw\forest\5462.jpg,forest
data/raw\glacier\13265.jpg,glacier
data/raw\street\10617.jpg,street
data/raw\buildings\17451.jpg,buildings
data/raw\buildings\19375.jpg,buildings
data/raw\street\7303.jpg,street
data/raw\street\9099.jpg,street
data/raw\buildings\11622.jpg,buildings
data/raw\sea\6368.jpg,sea
data/raw\glacier\14777.jpg,glacier
data/raw\buildings\17211.jpg,buildings
data/raw\sea\979.jpg,sea
data/raw\sea\6913.jpg,sea
data/raw\street\15644.jpg,street
data/raw\forest\769.jpg,forest
data/raw\street\17299.jpg,street
data/raw\glacier\15544.jpg,glacier
data/raw\sea\4578.jpg,sea
data/raw\glacier\15889.jpg,glacier
data/raw\mountain\866.jpg,mountain
data/raw\forest\8198.jpg,forest
data/raw\sea\8517.jpg,sea
data/raw\forest\6666.jpg,forest
data/raw\street\9662.jpg,street
data/raw\buildings\18769.jpg,buildings
data/raw\mountain\6512.jpg,mountain
data/raw\street\14322.jpg,street
data/raw\buildings\14756.jpg,buildings
data/raw\forest\5438.jpg,forest
data/raw\forest\3663.jpg,forest
data/raw\glacier\12114.jpg,glacier
data/raw\buildings\15945.jpg,buildings
data/raw\buildings\17906.jpg,buildings
data/raw\forest\5335.jpg,forest
data/raw\forest\6086.jpg,forest
data/raw\buildings\13143.jpg,buildings
data/raw\mountain\1698.jpg,mountain
data/raw\street\9847.jpg,street
data/raw\mountain\6607.jpg,mountain
data/raw\glacier\14851.jpg,glacier
data/raw\street\14994.jpg,street
data/raw\street\14659.jpg,street
data/raw\street\14551.jpg,street
data/raw\buildings\13463.jpg,buildings
data/raw\glacier\12440.jpg,glacier
data/raw\forest\5325.jpg,forest
data/raw\glacier\16239.jpg,glacier
data/raw\forest\6099.jpg,forest
data/raw\buildings\19735.jpg,buildings
data/raw\buildings\16579.jpg,buildings
data/raw\mountain\2724.jpg,mountain
data/raw\sea\3197.jpg,sea
data/raw\street\10099.jpg,street
data/raw\buildings\19456.jpg,buildings
data/raw\street\10470.jpg,street
data/raw\street\6737.jpg,street
data/raw\mountain\1426.jpg,mountain
data/raw\glacier\17485.jpg,glacier
data/raw\sea\2070.jpg,sea
data/raw\forest\483.jpg,forest
data/raw\forest\464.jpg,forest
data/raw\sea\7259.jpg,sea
data/raw\forest\2294.jpg,forest
data/raw\sea\7461.jpg,sea
data/raw\sea\6830.jpg,sea
data/raw\buildings\16208.jpg,buildings
data/raw\buildings\15653.jpg,buildings
data/raw\sea\136.jpg,sea
data/raw\glacier\14887.jpg,glacier
data/raw\buildings\16349.jpg,buildings
data/raw\street\8974.jpg,street
data/raw\sea\4287.jpg,sea
data/raw\glacier\11768.jpg,glacier
data/raw\mountain\331.jpg,mountain
data/raw\forest\7747.jpg,forest
data/raw\forest\3422.jpg,forest
data/raw\forest\8309.jpg,forest
data/raw\sea\2822.jpg,sea
data/raw\mountain\2748.jpg,mountain
data/raw\mountain\1602.jpg,mountain
data/raw\forest\7388.jpg,forest
data/raw\forest\8711.jpg,forest
data/raw\mountain\3535.jpg,mountain
data/raw\buildings\13364.jpg,buildings
data/raw\sea\4423.jpg,sea
data/raw\buildings\12406.jpg,buildings
data/raw\street\10279.jpg,street
data/raw\street\9124.jpg,street
data/raw\buildings\15787.jpg,buildings
data/raw\mountain\4414.jpg,mountain
data/raw\sea\1345.jpg,sea
data/raw\mountain\4320.jpg,mountain
data/raw\mountain\3476.jpg,mountain
data/raw\buildings\19955.jpg,buildings
data/raw\mountain\4263.jpg,mountain
data/raw\sea\3783.jpg,sea
data/raw\mountain\1441.jpg,mountain
data/raw\mountain\5276.jpg,mountain
data/raw\buildings\16774.jpg,buildings
data/raw\mountain\1151.jpg,mountain
data/raw\street\7834.jpg,street
data/raw\sea\2337.jpg,sea
data/raw\buildings\13453.jpg,buildings
data/raw\buildings\14158.jpg,buildings
data/raw\buildings\11808.jpg,buildings
data/raw\mountain\2428.jpg,mountain
data/raw\glacier\17136.jpg,glacier
data/raw\glacier\13048.jpg,glacier
data/raw\buildings\12741.jpg,buildings
data/raw\buildings\18034.jpg,buildings
data/raw\mountain\1252.jpg,mountain
data/raw\mountain\3358.jpg,mountain
data/raw\buildings\12091.jpg,buildings
data/raw\street\7392.jpg,street
data/raw\street\15540.jpg,street
data/raw\forest\2674.jpg,forest
data/raw\mountain\4224.jpg,mountain
data/raw\mountain\1284.jpg,mountain
data/raw\forest\8298.jpg,forest
data/raw\buildings\17397.jpg,buildings
data/raw\forest\7522.jpg,forest
data/raw\street\15664.jpg,street
data/raw\mountain\3124.jpg,mountain
data/raw\street\15725.jpg,street
data/raw\mountain\1582.jpg,mountain
data/raw\forest\2504.jpg,forest
data/raw\buildings\12719.jpg,buildings
data/raw\street\5670.jpg,street
data/raw\street\8253.jpg,street
data/raw\sea\3108.jpg,sea
data/raw\buildings\16377.jpg,buildings
data/raw\sea\4404.jpg,sea
data/raw\mountain\6712.jpg,mountain
data/raw\buildings\13622.jpg,buildings
data/raw\mountain\3849.jpg,mountain
data/raw\sea\4790.jpg,sea
data/raw\forest\1115.jpg,forest
data/raw\sea\2544.jpg,sea
data/raw\glacier\14040.jpg,glacier
data/raw\street\15194.jpg,street
data/raw\buildings\14820.jpg,buildings
data/raw\glacier\12691.jpg,glacier
data/raw\street\8755.jpg,street
data/raw\forest\4627.jpg,forest
data/raw\buildings\18720.jpg,buildings
data/raw\mountain\659.jpg,mountain
data/raw\mountain\6210.jpg,mountain
data/raw\glacier\17944.jpg,glacier
data/raw\glacier\17531.jpg,glacier
data/raw\glacier\17987.jpg,glacier
data/raw\street\6284.jpg,street
data/raw\street\9287.jpg,street
data/raw\buildings\14885.jpg,buildings
data/raw\street\8351.jpg,street
data/raw\buildings\14705.jpg,buildings
data/raw\street\9160.jpg,street
data/raw\street\9043.jpg,street
data/raw\forest\1079.jpg,forest
data/raw\glacier\12209.jpg,glacier
data/raw\forest\524.jpg,forest
data/raw\buildings\18962.jpg,buildings
data/raw\glacier\16654.jpg,glacier
data/raw\mountain\7113.jpg,mountain
data/raw\buildings\19153.jpg,buildings
data/raw\mountain\7647.jpg,mountain
data/raw\buildings\15944.jpg,buildings
data/raw\forest\2520.jpg,forest
data/raw\forest\7012.jpg,forest
data/raw\sea\916.jpg,sea
data/raw\sea\4870.jpg,sea
data/raw\forest\4114.jpg,forest
data/raw\mountain\1960.jpg,mountain
data/raw\forest\5349.jpg,forest
data/raw\glacier\12805.jpg,glacier
data/raw\mountain\7586.jpg,mountain
data/raw\glacier\14509.jpg,glacier
data/raw\glacier\12998.jpg,glacier
data/raw\glacier\12378.jpg,glacier
data/raw\mountain\7537.jpg,mountain
data/raw\glacier\16108.jpg,glacier
data/raw\buildings\11494.jpg,buildings
data/raw\forest\5456.jpg,forest
data/raw\buildings\18045.jpg,buildings
data/raw\glacier\12697.jpg,glacier
data/raw\buildings\20048.jpg,buildings
data/raw\sea\1978.jpg,sea
data/raw\glacier\16334.jpg,glacier
data/raw\glacier\14734.jpg,glacier
data/raw\sea\4334.jpg,sea
data/raw\sea\2589.jpg,sea
data/raw\mountain\2110.jpg,mountain
data/raw\buildings\17403.jpg,buildings
data/raw\forest\49.jpg,forest
data/raw\street\16572.jpg,street
data/raw\sea\4785.jpg,sea
data/raw\buildings\12615.jpg,buildings
data/raw\forest\3143.jpg,forest
data/raw\street\8104.jpg,street
data/raw\mountain\5120.jpg,mountain
data/raw\buildings\13490.jpg,buildings
data/raw\glacier\12792.jpg,glacier
data/raw\street\14962.jpg,street
data/raw\buildings\16078.jpg,buildings
data/raw\street\9164.jpg,street
data/raw\mountain\2605.jpg,mountain
data/raw\sea\7150.jpg,sea
data/raw\forest\6490.jpg,forest
data/raw\forest\859.jpg,forest
data/raw\sea\4025.jpg,sea
data/raw\mountain\6869.jpg,mountain
data/raw\street\10613.jpg,street
data/raw\buildings\14766.jpg,buildings
data/raw\mountain\3509.jpg,mountain
data/raw\forest\4971.jpg,forest
data/raw\buildings\12913.jpg,buildings
data/raw\forest\3945.jpg,forest
data/raw\glacier\17682.jpg,glacier
data/raw\buildings\17272.jpg,buildings
data/raw\forest\5202.jpg,forest
data/raw\buildings\11813.jpg,buildings
data/raw\mountain\820.jpg,mountain
data/raw\sea\6381.jpg,sea
data/raw\buildings\16346.jpg,buildings
data/raw\mountain\6986.jpg,mountain
data/raw\street\5891.jpg,street
data/raw\glacier\11911.jpg,glacier
data/raw\street\5428.jpg,street
data/raw\forest\6887.jpg,forest
data/raw\street\14676.jpg,street
data/raw\glacier\19161.jpg,glacier
data/raw\street\9685.jpg,street
data/raw\street\8336.jpg,street
data/raw\mountain\3044.jpg,mountain
data/raw\street\7074.jpg,street
data/raw\mountain\1396.jpg,mountain
data/raw\mountain\5234.jpg,mountain
data/raw\mountain\6268.jpg,mountain
data/raw\glacier\14202.jpg,glacier
data/raw\mountain\5939.jpg,mountain
data/raw\buildings\15693.jpg,buildings
data/raw\mountain\3791.jpg,mountain
data/raw\sea\5050.jpg,sea
data/raw\glacier\15501.jpg,glacier
data/raw\buildings\16931.jpg,buildings
data/raw\sea\8189.jpg,sea
data/raw\buildings\19159.jpg,buildings
data/raw\forest\6854.jpg,forest
data/raw\sea\670.jpg,sea
data/raw\glacier\16584.jpg,glacier
data/raw\glacier\12580.jpg,glacier
data/raw\street\8661.jpg,street
data/raw\glacier\18864.jpg,glacier
data/raw\buildings\14300.jpg,buildings
data/raw\glacier\14500.jpg,glacier
data/raw\forest\5673.jpg,forest
data/raw\street\15943.jpg,street
data/raw\forest\8511.jpg,forest
data/raw\mountain\5655.jpg,mountain
data/raw\mountain\3173.jpg,mountain
data/raw\sea\3484.jpg,sea
data/raw\forest\8448.jpg,forest
data/raw\street\16806.jpg,street
data/raw\mountain\1743.jpg,mountain
data/raw\glacier\16090.jpg,glacier
data/raw\glacier\15271.jpg,glacier
data/raw\forest\8732.jpg,forest
data/raw\sea\2649.jpg,sea
data/raw\forest\4484.jpg,forest
data/raw\buildings\14194.jpg,buildings
data/raw\buildings\16538.jpg,buildings
data/raw\buildings\17495.jpg,buildings
data/raw\street\9370.jpg,street
data/raw\glacier\16027.jpg,glacier
data/raw\sea\3795.jpg,sea
data/raw\street\10687.jpg,street
data/raw\mountain\4980.jpg,mountain
data/raw\mountain\3779.jpg,mountain
data/raw\glacier\14110.jpg,glacier
data/raw\mountain\232.jpg,mountain
data/raw\glacier\12418.jpg,glacier
data/raw\street\16192.jpg,street
data/raw\mountain\800.jpg,mountain
data/raw\mountain\748.jpg,mountain
data/raw\buildings\15147.jpg,buildings
data/raw\sea\3296.jpg,sea
data/raw\forest\466.jpg,forest
data/raw\glacier\11966.jpg,glacier
data/raw\mountain\4856.jpg,mountain
data/raw\street\15019.jpg,street
data/raw\buildings\18919.jpg,buildings
data/raw\street\17093.jpg,street
data/raw\buildings\12755.jpg,buildings
data/raw\forest\7955.jpg,forest
data/raw\glacier\15110.jpg,glacier
data/raw\mountain\5812.jpg,mountain
data/raw\buildings\18542.jpg,buildings
data/raw\glacier\16016.jpg,glacier
data/raw\forest\1017.jpg,forest
data/raw\buildings\17161.jpg,buildings
data/raw\glacier\14144.jpg,glacier
data/raw\buildings\18743.jpg,buildings
data/raw\buildings\15988.jpg,buildings
data/raw\street\8885.jpg,street
data/raw\buildings\17983.jpg,buildings
data/raw\street\8086.jpg,street
data/raw\glacier\19820.jpg,glacier
data/raw\mountain\5082.jpg,mountain
data/raw\street\16489.jpg,street
data/raw\glacier\13749.jpg,glacier
data/raw\glacier\17362.jpg,glacier
data/raw\street\9425.jpg,street
data/raw\mountain\3465.jpg,mountain
data/raw\sea\8022.jpg,sea
data/raw\buildings\19260.jpg,buildings
data/raw\buildings\17480.jpg,buildings
data/raw\sea\6768.jpg,sea
data/raw\buildings\16159.jpg,buildings
data/raw\mountain\6311.jpg,mountain
data/raw\mountain\6467.jpg,mountain
data/raw\glacier\13181.jpg,glacier
data/raw\mountain\3291.jpg,mountain
data/raw\buildings\13540.jpg,buildings
data/raw\buildings\11568.jpg,buildings
data/raw\sea\4257.jpg,sea
data/raw\forest\7411.jpg,forest
data/raw\buildings\11317.jpg,buildings
data/raw\sea\8006.jpg,sea
data/raw\buildings\15920.jpg,buildings
data/raw\buildings\14416.jpg,buildings
data/raw\forest\8827.jpg,forest
data/raw\sea\5021.jpg,sea
data/raw\forest\430.jpg,forest
data/raw\glacier\13808.jpg,glacier
data/raw\forest\5378.jpg,forest
